First Time,SEL_staz,d,LAeq_staz,LMax_staz,SEL_ARPA,LAeq_ARPA,LMax_ARPA
15/11/2023 12:18:00,80.86,64,62.79,67.90,78.82,60.76,68.20
15/11/2023 12:21:40,78.90,44,62.47,68.70,76.56,60.12,68.40
15/11/2023 12:30:00,87.36,33,72.17,79.30,87.67,72.48,79.60
15/11/2023 12:32:22,75.51,25,61.53,63.30,71.83,57.85,62.00
15/11/2023 12:41:46,78.52,54,61.20,63.40,74.43,57.10,61.40
15/11/2023 12:45:52,75.56,26,61.41,63.40,71.78,57.63,61.40
15/11/2023 12:49:16,87.91,41,71.78,79.20,88.10,71.98,80.40
15/11/2023 13:01:25,87.24,35,71.80,79.30,87.31,71.87,79.50
15/11/2023 13:05:21,88.90,33,73.72,81.80,89.03,73.84,81.80
15/11/2023 13:08:45,93.23,48,76.42,85.90,93.65,76.84,86.00
15/11/2023 13:27:18,89.67,39,73.76,81.00,89.80,73.89,81.20
15/11/2023 13:36:55,89.21,40,73.19,82.20,89.31,73.29,82.00
15/11/2023 13:39:53,89.99,50,73.00,82.50,90.03,73.04,82.70
15/11/2023 13:43:36,86.74,34,71.42,78.40,86.94,71.63,78.20
15/11/2023 13:46:12,89.95,35,74.51,83.00,90.17,74.73,83.20
15/11/2023 14:00:06,85.97,32,70.92,77.30,86.03,70.98,77.30
15/11/2023 14:03:29,88.58,34,73.26,80.60,88.89,73.58,80.80
15/11/2023 14:06:47,87.33,34,72.01,79.70,87.79,72.47,80.00
15/11/2023 14:10:06,88.39,43,72.05,80.80,88.63,72.29,81.40
15/11/2023 14:31:23,86.16,38,70.36,77.80,86.26,70.46,78.10
15/11/2023 14:33:37,88.88,33,73.70,81.60,89.31,74.12,81.90
15/11/2023 14:35:58,86.59,31,71.67,78.40,86.91,71.99,78.60
15/11/2023 14:47:15,87.13,38,71.33,79.60,87.67,71.87,80.20
15/11/2023 14:50:28,88.22,37,72.54,81.30,88.94,73.26,82.00
15/11/2023 14:52:49,86.64,34,71.33,78.80,86.92,71.61,78.40
15/11/2023 14:55:46,89.54,46,72.91,81.90,90.08,73.45,82.70
15/11/2023 15:00:34,85.96,32,70.91,77.50,86.33,71.28,77.20
15/11/2023 15:08:03,79.32,26,65.17,70.90,78.85,64.70,70.50
15/11/2023 15:17:43,88.50,34,73.19,81.10,88.78,73.47,81.30
15/11/2023 15:48:29,89.37,39,73.46,81.90,89.79,73.88,82.60
15/11/2023 15:51:04,87.24,33,72.06,79.30,87.67,72.48,81.20
